Fighter_Name,Height,Reach,Wins,Losses,Draws,Str_Acc,Str_Def,Wins_DQ,Wins_Decision,Wins_KO_TKO,Wins_Submission,Wins_Round_1,Wins_Round_2,Wins_Round_3,Wins_Round_4,Wins_Round_5
Santiago Ponzinibbio,"6' 0""","73.0""",31,9,0,41%,61%,0.0,5.0,7.0,0.0,4.0,0.0,7.0,1.0,0.0
Alexander Poppeck,"6' 2""",0,9,3,0,57%,33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Portela,0,0,9,2,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihor Potieria,"6' 3""","75.0""",20,8,0,50%,50%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Dylan Potter,"6' 2""","77.0""",10,6,0,48%,46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Powell,"6' 0""","73.0""",9,4,0,41%,51%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Marcin Prachnio,"6' 3""","73.0""",17,9,0,54%,54%,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
Wagner Prado,"6' 0""","74.0""",12,3,0,40%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Prado,"5' 10""","69.0""",12,4,0,43%,54%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Ricardo Prasel,"6' 7""","78.0""",10,2,0,57%,37%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Prates,"6' 1""","78.0""",23,7,0,55%,47%,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0
Kyle Prepolec,"5' 10""","70.0""",18,10,0,34%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niko Price,"6' 0""","76.0""",16,10,0,43%,48%,0.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0
Jiri Prochazka,"6' 3""","80.0""",32,5,1,55%,45%,0.0,0.0,5.0,1.0,0.0,3.0,2.0,0.0,1.0
Lara Procopio,"5' 4""","67.0""",7,2,0,58%,47%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Lucie Pudilova,"5' 8""","67.0""",14,10,0,37%,50%,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
Claudio Puelles,"5' 10""","72.0""",13,5,0,46%,48%,0.0,2.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0
Juan Puerta,"5' 9""","71.0""",23,6,0,39%,67%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Manuel Puig,"5' 9""",0,11,4,0,23%,51%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrey Pulyaev,"6' 4""","78.0""",10,4,0,56%,55%,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Joe Pyfer,"6' 2""","75.0""",15,3,0,43%,53%,0.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0
Pat Pytlik,"6' 0""","73.0""",9,2,0,56%,22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qiu Lun,"5' 8""","66.0""",16,9,0,46%,67%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Quarantillo,"5' 10""","70.0""",18,7,0,54%,42%,0.0,2.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0
Josh Quinlan,"6' 0""","72.0""",6,3,0,42%,53%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Landon Quinones,"5' 9""","70.0""",7,3,1,40%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Quinonez,"5' 8""","69.0""",9,5,0,45%,64%,0.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
Cristian Quinonez,"5' 8""","70.0""",19,5,0,43%,56%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Charles Radtke,"5' 9""","72.0""",11,5,0,54%,54%,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0
Loik Radzhabov,"5' 11""","69.0""",18,6,1,44%,46%,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Marwan Rahiki,"5' 8""","72.0""",7,0,0,47%,56%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shavkat Rakhmonov,"6' 1""","77.0""",19,0,0,60%,51%,0.0,1.0,1.0,5.0,2.0,3.0,1.0,0.0,1.0
Sora Rakhmonova,0,0,4,1,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Rakic,"6' 4""","78.0""",14,6,0,50%,51%,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0
Zygimantas Ramaska,"5' 11""","71.0""",9,3,0,60%,30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador Ramirez,0,0,5,4,0,51%,69%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitch Ramirez,"5' 11""","71.0""",8,3,0,44%,37%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Ramos,"5' 9""","72.0""",17,8,0,36%,54%,0.0,5.0,2.0,1.0,2.0,0.0,6.0,0.0,0.0
Davi Ramos,"5' 6""","70.0""",10,4,0,37%,56%,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0
Dorian Ramos,"5' 8""","70.0""",8,3,0,52%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vernon Ramos Ho,"5' 6""",0,3,1,0,25%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitch Raposo,"5' 5""","64.0""",10,3,0,36%,61%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bec Rawlings,"5' 6""","64.0""",7,8,0,42%,57%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Stevie Ray,"5' 10""","70.0""",23,9,0,44%,54%,0.0,5.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0
Mateusz Rebecki,"5' 7""","66.0""",20,4,0,46%,53%,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
Paul Redmond,"5' 10""",0,12,7,0,34%,41%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karl Reed,"6' 3""","78.0""",6,1,0,44%,38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
