Fighter_Name,Height,Reach,Wins,Losses,Draws,Str_Acc,Str_Def,Wins_DQ,Wins_Decision,Wins_KO_TKO,Wins_Submission,Wins_Round_1,Wins_Round_2,Wins_Round_3,Wins_Round_4,Wins_Round_5
Benoit Saint Denis,"5' 11""","73.0""",17,3,0,58%,42%,0.0,0.0,5.0,4.0,3.0,6.0,0.0,0.0,0.0
Lukasz Sajewski,"5' 8""","71.0""",13,3,0,35%,57%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augusto Sakai,"6' 3""","77.0""",16,5,1,49%,48%,0.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0
Roman Salazar,"5' 7""",0,10,6,0,39%,57%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Saldana,"5' 11""","73.0""",16,7,1,50%,60%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Quillan Salkilld,"6' 0""","75.0""",11,1,0,57%,44%,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0
Boston Salmon,"5' 9""","69.0""",6,3,0,37%,59%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vinicius Salvador,"5' 7""","70.0""",14,7,0,43%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Salvador,"5' 9""","69.0""",5,2,0,37%,46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Samman,"6' 3""","79.0""",13,4,0,52%,34%,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
Samuel Sanches,"5' 10""","74.0""",11,1,0,75%,100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Sanchez,"5' 7""",0,10,35,0,0%,100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joby Sanchez,"5' 6""","68.0""",11,4,0,36%,63%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Emmanuel Sanchez,"5' 9""","71.0""",15,3,0,35%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erick Sanchez,"5' 10""",0,8,3,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Sanchez,"6' 1""","74.0""",13,7,0,43%,50%,0.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
Cory Sandhagen,"5' 11""","70.0""",18,6,0,45%,56%,0.0,4.0,6.0,1.0,2.0,4.0,2.0,1.0,2.0
Hector Sandoval,"5' 2""","64.0""",14,4,0,52%,65%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Roldan Sangcha'an,"5' 4""",0,4,2,0,46%,51%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Sano,"5' 11""","75.0""",4,3,1,33%,40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duda Santana,"5' 7""","73.0""",3,1,0,39%,73%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaheen Santana,"6' 1""","75.0""",6,1,0,42%,40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neemias Santana,"6' 2""","76.0""",7,3,1,34%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Santiago,"5' 10""","69.0""",19,12,0,49%,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richie Santiago,"5' 7""","67.0""",7,2,0,49%,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Santos,"5' 9""",0,15,2,0,46%,56%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gleristone Santos,"5' 9""",0,33,7,0,31%,64%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yana Santos,"5' 6""","68.0""",17,8,0,57%,52%,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Taila Santos,"5' 6""","68.0""",19,3,0,48%,58%,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0
Marilia Santos,"5' 4""",0,10,3,0,54%,53%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edivan Santos,"6' 4""","78.0""",12,3,1,48%,26%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Santos,"5' 7""","67.0""",14,2,0,40%,51%,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
Gabriel Santos,"5' 9""","70.0""",12,2,0,60%,45%,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Luana Santos,"5' 6""","67.0""",10,2,0,52%,63%,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0
Djorden Santos,"6' 0""","75.0""",11,2,0,44%,48%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mairon Santos,"5' 7""","72.0""",18,1,0,48%,65%,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0
Jeka Saragih,"5' 8""","69.0""",14,5,0,50%,40%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Gokhan Saricam,0,0,11,2,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Sarnavskiy,"5' 11""",0,35,6,0,66%,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuta Sasaki,"5' 10""","71.0""",21,6,2,41%,50%,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0
Paul Sass,"6' 0""","73.0""",14,2,0,26%,51%,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
Keisuke Sasu,"5' 5""","69.0""",11,3,1,49%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Takashi Sato,"5' 10""","73.0""",16,7,0,41%,44%,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Shogo Sato,"5' 7""","66.0""",5,1,0,25%,29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uran Satybaldiev,"6' 4""","79.0""",9,1,0,25%,44%,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Jeimeson Saudino,"5' 6""",0,8,5,0,30%,84%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christien Savoie,"5' 11""","72.0""",10,2,1,45%,23%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Sayles,"5' 7""","68.0""",8,4,0,41%,61%,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Mikheil Sazhiniani,"6' 0""","71.0""",13,3,0,28%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Scheffel,"6' 2""","75.0""",14,7,0,36%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat Schilling,"5' 8""",0,5,2,0,26%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Schnell,"5' 8""","70.0""",17,10,0,40%,55%,0.0,4.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0
Bailey Schoenfelder,"6' 3""","76.0""",5,1,0,0%,53%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lacey Schuckman,"5' 3""",0,11,10,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wes Schultz,"6' 1""","77.0""",8,3,0,43%,45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Scoggins,"5' 7""","66.0""",11,5,0,51%,55%,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
Brad Scott,"6' 1""","76.0""",11,6,0,41%,57%,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
Louis Lee Scott,"5' 8""","70.0""",10,0,0,58%,71%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zachary Scroggin,"6' 3""","74.0""",7,1,0,37%,68%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demba Seck,"6' 1""","74.0""",10,3,0,40%,22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Secor,"6' 0""",0,8,4,0,20%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tetsuya Seki,"5' 10""",0,14,8,1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Sekulic,"6' 0""","75.0""",12,4,0,50%,64%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Semelsberger,"6' 1""","75.0""",11,8,0,42%,54%,0.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0
YeDam Seo,"5' 3""","63.0""",7,4,0,27%,58%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DongHyun Seo,"5' 7""","67.0""",7,3,1,63%,41%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igor Severino,"5' 7""","69.0""",8,1,0,52%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Sezinando,"5' 9""","71.0""",9,2,0,27%,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edmen Shahbazyan,"6' 2""","75.0""",16,5,0,48%,49%,0.0,2.0,6.0,1.0,6.0,1.0,2.0,0.0,0.0
Leon Shahbazyan,"6' 4""","74.0""",7,2,0,52%,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Shainis,"5' 6""","67.0""",12,5,0,50%,31%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liliya Shakirova,"5' 4""","65.0""",8,2,0,30%,74%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Sharaf,"6' 3""","77.0""",4,2,0,43%,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Priya Sharma,"5' 1""","59.0""",5,2,0,16%,40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Shelton,"5' 6""","68.0""",12,6,0,42%,63%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Chase Sherman,"6' 4""","78.0""",16,12,0,45%,52%,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0
Valentina Shevchenko,"5' 5""","66.0""",26,4,1,52%,63%,0.0,9.0,4.0,2.0,0.0,4.0,2.0,1.0,8.0
Shi Ming,"5' 2""","60.0""",17,6,0,36%,53%,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Henrique Shiguemoto,"5' 11""","72.0""",13,4,1,33%,16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raja Shippen,"5' 6""",0,18,11,1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Shockley,"6' 1""",0,11,4,0,33%,60%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liudvik Sholinian,"5' 10""","71.0""",9,4,1,30%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Shore,"5' 8""","71.0""",17,3,0,58%,56%,0.0,3.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0
Ivan Shtyrkov,"6' 0""","74.0""",15,0,1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronal Siahaan,"5' 7""","71.0""",7,1,0,66%,25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiril Sidelnikov,"5' 11""",0,11,4,0,28%,61%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serhiy Sidey,"5' 11""","72.0""",12,2,0,39%,54%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Steven Siler,"5' 11""","70.0""",29,16,0,41%,54%,0.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0
Xavier Siller,"5' 5""",0,5,5,0,36%,57%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wagner Silva,"6' 0""",0,6,3,0,29%,65%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joaquim Silva,"5' 8""","69.0""",14,6,0,43%,53%,0.0,4.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0
Dayana Silva,"5' 7""",0,7,4,0,51%,57%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Silva,"5' 4""","65.0""",15,7,2,50%,52%,0.0,0.0,7.0,2.0,4.0,3.0,2.0,0.0,0.0
Bruno Silva,"6' 0""","74.0""",23,13,0,48%,41%,0.0,0.0,7.0,2.0,4.0,3.0,2.0,0.0,0.0
Gabriel Silva,"5' 6""","71.0""",8,2,0,34%,45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Silva,"5' 5""","67.0""",6,4,0,44%,56%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natalia Silva,"5' 4""","65.0""",20,5,1,45%,66%,0.0,6.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0
Jansey Silva,"6' 2""","67.0""",7,2,0,40%,33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maria Silva,"5' 3""","64.0""",8,1,0,57%,62%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karine Silva,"5' 5""","67.0""",19,6,0,39%,48%,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0
Erik Silva,"5' 9""","71.0""",9,4,0,67%,40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janaina Silva,"5' 1""","60.0""",5,1,0,0%,62%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhonata Silva,"5' 5""","66.0""",8,2,0,52%,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Silva,"5' 7""","69.0""",17,3,0,51%,53%,0.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0
Danny Silva,"5' 11""","70.0""",10,2,0,55%,61%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Frank Silva,0,0,7,1,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Silva,"6' 0""","72.0""",13,5,1,27%,37%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Silva de Oliveira,"6' 2""",0,12,4,0,40%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elias Silverio,"5' 11""","73.0""",13,3,0,49%,51%,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Sim Kai Xiong,"5' 6""","67.0""",7,2,0,42%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamey Simmons,"5' 6""","70.0""",7,4,0,21%,74%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Simon,"5' 6""","69.0""",22,7,0,43%,61%,0.0,5.0,2.0,3.0,1.0,3.0,6.0,0.0,0.0
Everett Sims,"6' 5""","77.0""",4,1,0,66%,30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rana Rudra Pratap Singh,"5' 10""","69.0""",11,2,0,0%,27%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiran Singh,"5' 1""","65.0""",7,4,0,0%,23%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Sipe,"6' 2""",0,4,1,0,56%,46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gian Siqueira,"6' 1""","74.0""",19,5,0,100%,19%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremia Siregar,"5' 2""","63.0""",6,3,0,42%,29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Smith,"6' 4""","76.0""",38,22,0,49%,44%,0.0,2.0,6.0,5.0,6.0,1.0,5.0,1.0,0.0
Colton Smith,"6' 0""","71.0""",7,4,0,41%,51%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Devonte Smith,"5' 9""","76.0""",11,4,0,53%,49%,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
Cole Smith,"5' 11""","67.0""",7,2,0,35%,49%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nate Smith,"5' 6""","69.0""",6,1,0,38%,35%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braxton Smith,"5' 11""","72.0""",5,2,0,48%,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah Smith,"5' 9""","71.0""",9,1,0,47%,47%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Jacobe Smith,"5' 10""","72.0""",12,0,0,67%,47%,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
Louis Smolka,"5' 9""","68.0""",17,9,0,47%,53%,0.0,2.0,4.0,2.0,1.0,4.0,3.0,0.0,0.0
Cameron Smotherman,"5' 9""","69.0""",12,6,0,37%,58%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Shimon Smotritsky,"6' 2""","74.0""",8,2,0,34%,56%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richie Smullen,"5' 9""","68.0""",3,1,1,77%,65%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Smyth,"5' 10""","72.0""",4,2,0,68%,25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Sobotta,"6' 0""","75.0""",17,7,1,40%,58%,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
Axel Sola,"6' 2""","74.0""",11,0,1,42%,75%,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Alexander Soldatkin,"6' 2""","75.0""",14,4,0,60%,26%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Solecki,"5' 9""","70.0""",13,6,0,53%,50%,0.0,3.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0
Paul Song,0,0,2,2,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Song Kenan,"6' 0""","71.0""",22,9,0,46%,51%,0.0,3.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0
Song Yadong,"5' 8""","67.0""",22,9,1,43%,55%,0.0,5.0,5.0,1.0,3.0,2.0,4.0,0.0,2.0
YoungJae Song,"5' 7""","70.0""",6,1,1,58%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyeonjong Song,0,0,8,1,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emrah Sonmez,"5' 10""","71.0""",14,5,0,46%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jin Soo Son,"5' 6""","69.0""",9,4,0,36%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benardo Sopaj,"5' 6""","66.0""",12,3,0,56%,49%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Emiliano Sordi,"6' 2""",0,16,7,0,50%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Soriano,"5' 9""","70.0""",14,8,0,61%,56%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punahele Soriano,"5' 11""","72.0""",13,4,0,53%,47%,0.0,3.0,4.0,0.0,3.0,1.0,3.0,0.0,0.0
Hecher Sosa,"5' 9""","70.0""",14,1,0,50%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dmitry Sosnovskiy,"6' 3""","77.0""",11,0,0,70%,35%,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Ben Sosoli,"6' 0""","72.0""",7,3,0,31%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Soto,"5' 6""","65.0""",18,7,0,41%,67%,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
Andre Soukhamthath,"5' 9""","70.0""",13,8,0,44%,49%,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Mario Sousa,"6' 3""","79.0""",15,3,0,50%,28%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manoel Sousa,"5' 9""","70.0""",13,1,0,58%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Livinha Souza,"5' 3""","63.0""",14,4,0,45%,56%,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
Bruno Souza,"5' 10""","70.0""",10,3,0,39%,45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ketlen Souza,"5' 3""","63.0""",16,6,0,56%,52%,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
Heraldo Souza,"5' 11""","73.0""",9,2,1,33%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charon Spain,"5' 9""",0,14,26,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Spang,"6' 2""",0,6,3,0,36%,60%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Spann,"6' 5""","79.0""",23,11,0,39%,43%,0.0,2.0,3.0,4.0,6.0,1.0,2.0,0.0,0.0
Sean Spencer,"5' 10""","74.0""",12,6,0,32%,60%,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Felicia Spencer,"5' 6""","68.0""",9,3,0,48%,45%,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
Eric Spicely,"6' 1""","73.0""",12,6,0,45%,55%,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Daniel Spitz,"6' 7""","82.0""",6,3,0,35%,46%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Serghei Spivac,"6' 3""","78.0""",18,6,0,47%,52%,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
Austin Springer,"5' 8""","71.0""",12,4,0,57%,41%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Stahl,"5' 11""",0,10,4,0,37%,57%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Stamann,"5' 6""","64.0""",21,8,1,46%,60%,0.0,6.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0
Cristina Stanciu,"5' 3""",0,5,2,0,50%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laureano Staropoli,"6' 1""","71.0""",9,5,0,34%,54%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Damian Stasiak,"5' 5""","70.0""",10,6,0,36%,52%,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
Dominique Steele,"5' 10""","74.0""",14,9,0,49%,50%,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Ricky Steele,"5' 9""","74.0""",6,0,0,70%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kody Steele,"5' 9""","71.0""",7,1,0,32%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aljamain Sterling,"5' 7""","71.0""",25,5,0,52%,59%,1.0,10.0,2.0,4.0,1.0,3.0,9.0,1.0,3.0
Darren Stewart,"6' 0""","74.0""",12,8,0,45%,48%,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0
Kyle Stewart,"6' 0""","76.0""",11,3,0,35%,43%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navajo Stirling,"6' 4""","79.0""",8,0,0,52%,58%,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Lazar Stojadinovic,"5' 7""","68.0""",12,5,0,29%,59%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julija Stoliarenko,"5' 7""","66.0""",11,10,2,38%,46%,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Dustin Stoltzfus,"6' 0""","75.0""",16,8,0,45%,47%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Niklas Stolze,"6' 1""","74.0""",12,6,0,48%,49%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darko Stosic,"6' 0""","76.0""",13,4,0,45%,58%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Jesse Strader,"5' 7""","70.0""",5,3,0,51%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Strickland,"6' 1""","76.0""",30,7,0,42%,60%,0.0,11.0,5.0,1.0,1.0,3.0,8.0,0.0,5.0
Mark Striegl,"5' 8""","70.0""",18,4,0,45%,40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hans Stringer,"6' 3""",0,22,8,3,61%,41%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Stefan Struve,"6' 11""","84.0""",33,13,0,47%,46%,0.0,2.0,5.0,6.0,4.0,7.0,2.0,0.0,0.0
Mike Stumpf,"5' 10""",0,11,4,0,43%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tatiana Suarez,"5' 5""","66.0""",12,1,0,60%,45%,0.0,3.0,1.0,4.0,2.0,2.0,4.0,0.0,0.0
Lucasz Sudolski,"6' 4""","75.0""",8,1,0,67%,28%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulangrangbo,"5' 9""","66.0""",10,4,0,48%,62%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Sumter,"6' 2""","80.0""",7,3,0,48%,34%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sumudaerji,"5' 8""","72.0""",19,7,0,50%,62%,0.0,5.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0
Rama Supandhi,"5' 5""","66.0""",8,4,0,42%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baisangur Susurkaev,"6' 2""","79.0""",11,0,0,59%,53%,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Louie Sutherland,"6' 3""","76.0""",10,4,0,60%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danilo Suzart,"6' 0""",0,9,2,0,55%,51%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Swain,"5' 9""","70.0""",20,10,1,44%,40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oumar Sy,"6' 4""","83.0""",12,1,0,48%,70%,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
Klaudia Sygula,"5' 8""","69.0""",8,2,0,48%,56%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kevin Syler,"5' 9""","71.0""",10,1,0,69%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Szaflarski,"6' 5""","77.0""",11,2,0,28%,30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
